--------- beginning of main
06-18 23:43:40.943 25892 25892 D CallRadar: 📍 위치: 37.4880974, 127.1006926 | 속도: 31km/h | 고속이동
06-18 23:43:45.942 25892 25892 D CallRadar: 📍 위치: 37.4877836, 127.101084 | 속도: 33km/h | 고속이동
06-18 23:43:50.941 25892 25892 D CallRadar: 📍 위치: 37.4876278, 127.1012807 | 속도: 0km/h | 서행
06-18 23:45:56.948 25892 25892 D CallRadar: 📍 위치: 37.4875515, 127.1013742 | 속도: 22km/h | 이동중
06-18 23:46:01.943 25892 25892 D CallRadar: 📍 위치: 37.4873551, 127.1017865 | 속도: 35km/h | 고속이동
06-18 23:46:06.941 25892 25892 D CallRadar: 📍 위치: 37.4875057, 127.1024555 | 속도: 53km/h | 고속이동
06-18 23:46:11.942 25892 25892 D CallRadar: 📍 위치: 37.4877716, 127.1033464 | 속도: 66km/h | 고속이동
06-18 23:46:16.942 25892 25892 D CallRadar: 📍 위치: 37.4880786, 127.1043867 | 속도: 73km/h | 고속이동
06-18 23:46:21.941 25892 25892 D CallRadar: 📍 위치: 37.4883955, 127.1054452 | 속도: 72km/h | 고속이동
06-18 23:46:26.943 25892 25892 D CallRadar: 📍 위치: 37.4887378, 127.1065601 | 속도: 79km/h | 고속이동
06-18 23:46:31.942 25892 25892 D CallRadar: 📍 위치: 37.4890474, 127.1075801 | 속도: 57km/h | 고속이동
06-18 23:46:36.940 25892 25892 D CallRadar: 📍 위치: 37.4892374, 127.1081829 | 속도: 30km/h | 고속이동
06-18 23:46:41.946 25892 25892 D CallRadar: 📍 위치: 37.4893496, 127.1085352 | 속도: 12km/h | 이동중
06-18 23:46:53.942 25892 25892 D CallRadar: 📍 위치: 37.4893859, 127.1086559 | 속도: 16km/h | 이동중
06-18 23:46:58.945 25892 25892 D CallRadar: 📍 위치: 37.4894649, 127.1089064 | 속도: 11km/h | 이동중
06-18 23:47:06.941 25892 25892 D CallRadar: 📍 위치: 37.4895018, 127.109028 | 속도: 7km/h | 이동중
06-18 23:47:11.945 25892 25892 D CallRadar: 📍 위치: 37.4894789, 127.1091689 | 속도: 13km/h | 이동중
06-18 23:47:16.945 25892 25892 D CallRadar: 📍 위치: 37.4892465, 127.1093319 | 속도: 33km/h | 고속이동
06-18 23:47:21.942 25892 25892 D CallRadar: 📍 위치: 37.4887687, 127.1096796 | 속도: 52km/h | 고속이동
06-18 23:47:26.943 25892 25892 D CallRadar: 📍 위치: 37.4881112, 127.1101655 | 속도: 67km/h | 고속이동
06-18 23:47:31.944 25892 25892 D CallRadar: 📍 위치: 37.4873655, 127.1107141 | 속도: 71km/h | 고속이동
06-18 23:47:36.943 25892 25892 D CallRadar: 📍 위치: 37.4865533, 127.1113035 | 속도: 75km/h | 고속이동
06-18 23:47:41.942 25892 25892 D CallRadar: 📍 위치: 37.4857789, 127.1118661 | 속도: 64km/h | 고속이동
06-18 23:47:46.943 25892 25892 D CallRadar: 📍 위치: 37.4851188, 127.1123476 | 속도: 58km/h | 고속이동
06-18 23:47:51.943 25892 25892 D CallRadar: 📍 위치: 37.484486, 127.1128462 | 속도: 64km/h | 고속이동
06-18 23:47:56.941 25892 25892 D CallRadar: 📍 위치: 37.483763, 127.1133949 | 속도: 73km/h | 고속이동
06-18 23:48:01.941 25892 25892 D CallRadar: 📍 위치: 37.4829036, 127.1140934 | 속도: 87km/h | 고속이동
06-18 23:48:06.940 25892 25892 D CallRadar: 📍 위치: 37.4819671, 127.1147517 | 속도: 80km/h | 고속이동
06-18 23:48:11.947 25892 25892 D CallRadar: 📍 위치: 37.4812207, 127.1153249 | 속도: 63km/h | 고속이동
06-18 23:48:16.941 25892 25892 D CallRadar: 📍 위치: 37.480637, 127.1158384 | 속도: 51km/h | 고속이동
06-18 23:48:21.943 25892 25892 D CallRadar: 📍 위치: 37.4801656, 127.1162167 | 속도: 40km/h | 고속이동
06-18 23:48:26.940 25892 25892 D CallRadar: 📍 위치: 37.4797707, 127.1164921 | 속도: 33km/h | 고속이동
06-18 23:48:31.943 25892 25892 D CallRadar: 📍 위치: 37.4794183, 127.1167419 | 속도: 33km/h | 고속이동
06-18 23:48:36.942 25892 25892 D CallRadar: 📍 위치: 37.4790383, 127.1170167 | 속도: 34km/h | 고속이동
06-18 23:48:41.941 25892 25892 D CallRadar: 📍 위치: 37.4787028, 127.1175082 | 속도: 52km/h | 고속이동
06-18 23:48:46.940 25892 25892 D CallRadar: 📍 위치: 37.4781893, 127.1181469 | 속도: 63km/h | 고속이동
06-18 23:48:51.941 25892 25892 D CallRadar: 📍 위치: 37.4775094, 127.1186469 | 속도: 54km/h | 고속이동
06-18 23:48:56.943 25892 25892 D CallRadar: 📍 위치: 37.4771015, 127.1190431 | 속도: 36km/h | 고속이동
06-18 23:49:01.942 25892 25892 D CallRadar: 📍 위치: 37.4769045, 127.1195581 | 속도: 44km/h | 고속이동
06-18 23:49:06.941 25892 25892 D CallRadar: 📍 위치: 37.4767256, 127.1203341 | 속도: 53km/h | 고속이동
06-18 23:49:11.943 25892 25892 D CallRadar: 📍 위치: 37.4765589, 127.1211509 | 속도: 54km/h | 고속이동
06-18 23:49:16.943 25892 25892 D CallRadar: 📍 위치: 37.4763971, 127.1221626 | 속도: 75km/h | 고속이동
06-18 23:49:21.940 25892 25892 D CallRadar: 📍 위치: 37.4761979, 127.1234085 | 속도: 85km/h | 고속이동
06-18 23:49:26.938 25892 25892 D CallRadar: 📍 위치: 37.475998, 127.1247573 | 속도: 90km/h | 고속이동
06-18 23:49:31.942 25892 25892 D CallRadar: 📍 위치: 37.475872, 127.1262423 | 속도: 98km/h | 고속이동
06-18 23:49:36.938 25892 25892 D CallRadar: 📍 위치: 37.4757187, 127.1278177 | 속도: 99km/h | 고속이동
06-18 23:49:41.945 25892 25892 D CallRadar: 📍 위치: 37.4754738, 127.1293082 | 속도: 91km/h | 고속이동
06-18 23:49:46.940 25892 25892 D CallRadar: 📍 위치: 37.4752035, 127.1306561 | 속도: 88km/h | 고속이동
06-18 23:49:51.941 25892 25892 D CallRadar: 📍 위치: 37.4749481, 127.1320399 | 속도: 87km/h | 고속이동
06-18 23:49:56.938 25892 25892 D CallRadar: 📍 위치: 37.4747363, 127.1332695 | 속도: 76km/h | 고속이동
06-18 23:50:01.942 25892 25892 D CallRadar: 📍 위치: 37.4746389, 127.1340731 | 속도: 50km/h | 고속이동
06-18 23:50:06.941 25892 25892 D CallRadar: 📍 위치: 37.4745075, 127.1347124 | 속도: 39km/h | 고속이동
06-18 23:50:11.941 25892 25892 D CallRadar: 📍 위치: 37.474425, 127.1353212 | 속도: 41km/h | 고속이동
06-18 23:50:16.939 25892 25892 D CallRadar: 📍 위치: 37.4743668, 127.1359136 | 속도: 36km/h | 고속이동
06-18 23:50:21.945 25892 25892 D CallRadar: 📍 위치: 37.4743389, 127.1364322 | 속도: 26km/h | 이동중
06-18 23:50:26.946 25892 25892 D CallRadar: 📍 위치: 37.4743322, 127.1365824 | 속도: 0km/h | 서행
06-18 23:52:36.939 25892 25892 D CallRadar: 📍 위치: 37.4743147, 127.136717 | 속도: 15km/h | 이동중
06-18 23:52:41.939 25892 25892 D CallRadar: 📍 위치: 37.4742969, 127.1371162 | 속도: 33km/h | 고속이동
06-18 23:52:46.941 25892 25892 D CallRadar: 📍 위치: 37.4742663, 127.1377547 | 속도: 47km/h | 고속이동
06-18 23:52:51.938 25892 25892 D CallRadar: 📍 위치: 37.4742452, 127.1385408 | 속도: 50km/h | 고속이동
06-18 23:52:56.941 25892 25892 D CallRadar: 📍 위치: 37.4742147, 127.1394124 | 속도: 62km/h | 고속이동
06-18 23:53:01.942 25892 25892 D CallRadar: 📍 위치: 37.4741744, 127.1404932 | 속도: 74km/h | 고속이동
06-18 23:53:06.934 25892 25892 D CallRadar: 📍 위치: 37.4741322, 127.1417538 | 속도: 84km/h | 고속이동
06-18 23:53:11.938 25892 25892 D CallRadar: 📍 위치: 37.4740842, 127.1430454 | 속도: 79km/h | 고속이동
06-18 23:53:16.942 25892 25892 D CallRadar: 📍 위치: 37.4740534, 127.1443566 | 속도: 76km/h | 고속이동
06-18 23:53:21.940 25892 25892 D CallRadar: 📍 위치: 37.4739924, 127.1454478 | 속도: 58km/h | 고속이동
06-18 23:53:26.939 25892 25892 D CallRadar: 📍 위치: 37.4739541, 127.146241 | 속도: 40km/h | 고속이동
06-18 23:53:31.938 25892 25892 D CallRadar: 📍 위치: 37.4739375, 127.146675 | 속도: 16km/h | 이동중
06-18 23:53:52.942 25892 25892 D CallRadar: 📍 위치: 37.4739329, 127.1467946 | 속도: 7km/h | 이동중
06-18 23:53:57.941 25892 25892 D CallRadar: 📍 위치: 37.4739186, 127.1471497 | 속도: 35km/h | 고속이동
06-18 23:54:02.938 25892 25892 D CallRadar: 📍 위치: 37.4738965, 127.1478615 | 속도: 53km/h | 고속이동
06-18 23:54:07.941 25892 25892 D CallRadar: 📍 위치: 37.4738626, 127.1486225 | 속도: 41km/h | 고속이동
06-18 23:54:12.941 25892 25892 D CallRadar: 📍 위치: 37.4738072, 127.1491379 | 속도: 23km/h | 이동중
06-18 23:54:17.945 25892 25892 D CallRadar: 📍 위치: 37.4738032, 127.1492519 | 속도: 0km/h | 서행
